repo,pr,title,verdict,reason
"PatrickJS/awesome-cursorrules",38,"Cursorrules For flutter with riverpod",KEEP,"Legitimate contribution of a rule file for Flutter with Riverpod."
"PatrickJS/awesome-cursorrules",90,"Add Kotlin + SpringBoot best practices cursorrules",KEEP,"Legitimate addition of Kotlin and SpringBoot rules, not slop."
"PatrickJS/awesome-cursorrules",23,"Add Temporal Python SDK .cursorrules",KEEP,"Legitimate addition of a project-specific rule file."
"PatrickJS/awesome-cursorrules",117,"added Medusa cursorrules",KEEP,"Legitimate addition of rules for a specific framework."
"coreyhaines31/marketingskills",221,"fix: clean up aso-audit skill for cross-agent compatibility",KEEP,"Legitimate update to a skill file for cross-agent compatibility."
"PatrickJS/awesome-cursorrules",138,"Refactor Python cursor rules for clarity and consistency",KEEP,"Legitimate refactor of cursor rules, not an automated or dummy PR."
"PatrickJS/awesome-cursorrules",129,"Create rust.mdc",KEEP,"Valid addition of a new rule file for Rust."
"PatrickJS/awesome-cursorrules",48,"Adding general purposes Java Cursor rules",KEEP,"Legitimate PR adding Java cursor rules, not slop or automated."
"kepano/obsidian-skills",35,"docs(obsidian-bases): add Duration type documentation and fix date formulas",KEEP,"Legitimate documentation update for specific features, not slop."
"kepano/obsidian-skills",32,"Add instructions about JSON newline escaping to avoid common mistakes",KEEP,"Legitimate update adding specific instructions about JSON newline escaping."
"coreyhaines31/marketingskills",78,"feat: add community-marketing skill",KEEP,"Legitimate addition of a new skill, not an automated or dummy PR."
"PatrickJS/awesome-cursorrules",69,"Enhance Unity Tower Defense Game .cursorrules with Context and Instru…",KEEP,"Title indicates a meaningful update adding context and instructions."
"coreyhaines31/marketingskills",189,"docs: document Claude Code dynamic content injection for skills",KEEP,"Legitimate documentation update about a specific feature."
"PatrickJS/awesome-cursorrules",71,"Update .cursorrules for svetle 5 vs 4",KEEP,"Legitimate update to cursorrules for Svelte 5 vs 4."
"coreyhaines31/marketingskills",211,"feat: add growth experimentation program to ab-test-setup",KEEP,"Legitimate feature addition to a skill file."
"coreyhaines31/marketingskills",212,"feat: expand content repurposing in social-content",KEEP,"Legitimate feature update to a skill file, not an auto-bot or dummy."
"coreyhaines31/marketingskills",53,"seo-audit: Add warning about web_fetch unable to detect JS-rendered schema markup",KEEP,"Specific, meaningful update about a technical limitation, not slop."
"coreyhaines31/marketingskills",18,"Fix marketing-ideas numbering to be sequential",KEEP,"Specific fix to the content of the SKILL.md file."
"PatrickJS/awesome-cursorrules",39,"Add Convex cursorrules",KEEP,"Legitimate addition of a new cursorrules file."
"coreyhaines31/marketingskills",222,"fix: add missing sections to community-marketing skill",KEEP,"Legitimate update adding missing sections to a specific skill file."
"coreyhaines31/marketingskills",19,"Release: Fix marketing-ideas numbering",KEEP,"Title suggests a specific fix to the skill file, not obvious slop."
"coreyhaines31/marketingskills",14,"Add content-strategy skill",KEEP,"Legitimate addition of a new skill file."
"coreyhaines31/marketingskills",208,"feat: add pricing.md guidance to ai-seo skill",KEEP,"Legitimate feature addition to a skill file."
"coreyhaines31/marketingskills",13,"Add content-strategy skill",KEEP,"Legitimate addition of a new skill file."
"PatrickJS/awesome-cursorrules",76,"Update .cursorrules",KEEP,"Title is generic but not obviously an auto-bot or dummy PR."
"ParthJadhav/app-store-screenshots",13,"fix: pre-load images as data URIs to prevent black exports",KEEP,"Title describes a specific technical fix, not slop."
"ParthJadhav/app-store-screenshots",6,"Add multi-language screenshot support",KEEP,"Legitimate feature addition to skill instructions."
"steipete/agent-rules",11,"Fix nested code block and remove license bloat",KEEP,"Specific fixes mentioned, not an auto-generated or dummy PR."
"ParthJadhav/app-store-screenshots",2,"feat: Add iPad App Store screenshot support",KEEP,"Legitimate feature addition to skill instructions."
"AvdLee/Swift-Concurrency-Agent-Skill",17,"Add GitHub Copilot instructions for PR reviews",KEEP,"Legitimate addition of agent instructions for PR reviews."
"LakshmanTurlapati/Review-Gate",47,"Update ReviewGateV2.mdc",KEEP,"Standard file update title, not obviously slop or automated."
"AvdLee/Swift-Concurrency-Agent-Skill",18,"Add quick-fix mode and escalation guidance",KEEP,"Legitimate update adding specific modes and guidance to agent instructions."
"PatrickJS/awesome-cursorrules",16,"Add React Native Expo Router TypeScript Windows .cursorrules File",KEEP,"Specific tech stack rule file addition, not slop or auto-generated."
"dotnet/skills",553,"Align `writing-mstest-tests` skill routing with anti-pattern disambiguation",KEEP,"Meaningful update to skill routing and disambiguation."
"AvdLee/Swift-Concurrency-Agent-Skill",13,"Improve metadata and guidance on tool use",KEEP,"Legitimate update to agent instructions, not obviously slop."
"dotnet/skills",478,"Ensure create-skill mentions codeowners",KEEP,"Legitimate update adding a specific requirement to the skill file."
"dotnet/skills",372,"Improve run-tests skill description",KEEP,"Legitimate update to a skill description, not an automated or dummy PR."
"dotnet/skills",409,"Add eval test authoring skill",KEEP,"Legitimate addition of a new skill file."
"AvdLee/Swift-Concurrency-Agent-Skill",31,"feat: improve skill description specificity and content conciseness",KEEP,"Legitimate update to skill description and conciseness."
"dotnet/skills",567,"Fix skill activation for exit code 8 scenario",KEEP,"Specific fix for a particular scenario, not slop."
"dotnet/skills",371,"Add prompt to evaluate skills description",KEEP,"Legitimate addition of a prompt file, not an automated or dummy PR."
"dotnet/skills",307,"Mention more directives in the FBA skill",KEEP,"Legitimate update to skill file adding directives."
"databricks-solutions/ai-dev-kit",134,"Modernize python-dev skill to use uv exclusively",KEEP,"Meaningful update to skill instructions regarding tool usage."
"databricks-solutions/ai-dev-kit",40,"Add dashboard catalog and schema params to asset-bundles skill",KEEP,"Specific, meaningful update adding parameters to a skill file."
"TencentCloudBase/CloudBase-MCP",589,"fix(skill): add signInWithPassword return format and checkAuth guidance",KEEP,"Specific update to skill file regarding return formats and guidance."
"TencentCloudBase/CloudBase-MCP",554,"fix: Skill 未说明云数据库集合需预先创建，导致 add() 调用失败",KEEP,"Specific fix adding missing instructions about database collections to a skill file."
"TencentCloudBase/CloudBase-MCP",504,"docs(guideline): ✂️ trim duplicated cloudbase guidance",KEEP,"Legitimate update to trim duplicated guidance."
