repo,pr,title,verdict,reason
"himself65/finance-skills",24,"Shorten skill descriptions to fit 1024-char limit",KEEP,"Specific, meaningful change to skill descriptions, not slop."
"conorbronsdon/avoid-ai-writing",2,"Expand AI-ism coverage: new words, dedup, let's pattern",KEEP,"Legitimate update to rules file adding specific patterns and words."
"modu-ai/moai-adk",654,"fix(routing): --team 플래그가 team/*.md 워크플로우를 로드하도록 수정 (#626)",KEEP,"Specific feature fix related to routing and workflows, not slop."
"conorluddy/ios-simulator-skill",3,"docs: Strengthen guidance to use skill scripts over raw tools",KEEP,"Legitimate update to agent instructions regarding tool usage."
"study8677/antigravity-workspace-template",50,"Simplify agent rule entrypoints",KEEP,"Legitimate change to simplify agent rule entrypoints."
"alpic-ai/skybridge",538,"feat: update AGENTS.md",KEEP,"Title is generic but not obviously slop or automated."
"zilliztech/memsearch",353,"Expand memory-recall skill description for better trigger coverage",KEEP,"Legitimate update to skill descriptions for better trigger coverage."
"ReScienceLab/opc-skills",77,"feat: add Amazon platform to requesthunt skill",KEEP,"Legitimate feature addition to a skill file."
"skills-directory/skill-codex",5,"Add critical evaluation guidelines for Claude-Codex peer interactions",KEEP,"Legitimate update adding specific guidelines for peer interactions."
"jezweb/claude-skills",73,"refactor: skills reference bin/ executables",KEEP,"Legitimate refactoring of skill documentation to reference executables."
"alirezarezvani/claude-code-skill-factory",56,"docs: Add mandatory workflow requirement to CLAUDE.md",KEEP,"Legitimate update adding a specific workflow requirement to agent instructions."
"ballred/obsidian-claude-pkm",10,"Add /check-links skill for broken wiki-link detection",KEEP,"Specific feature addition, not an auto-generated or dummy PR."
"himself65/finance-skills",48,"Add April 2026 Software Meltdown data to saas-valuation-compression skill",KEEP,"Specific update adding data to a skill file, not slop."
"himself65/finance-skills",18,"Add dynamic content injection to all CLI-dependent skills",KEEP,"Title describes a specific feature update, not slop or auto-generated."
"fcakyon/claude-codex-settings",13,"docs: refine PR workflow instructions for clarity",KEEP,"Legitimate update to agent instructions for PR workflow."
